,Player,Pos,Age,Tm,PER,TS%,AST%,WS/48,OBPM,DBPM,Year,
0,Carmelo Anthony,SF,19,DEN,17.6,0.509,13.8,0.098,1.6,-1.6,2003,1
1,Udonis Haslem,PF,23,MIA,13.7,0.521,4.9,0.128,-1.1,-0.9,2003,1
2,LeBron James,SG,19,CLE,18.3,0.488,27.8,0.078,2.3,-0.6,2003,1
3,Carmelo Anthony,SF,20,DEN,16.7,0.526,13.1,0.09,0.4,-1.6,2004,1
4,Udonis Haslem,PF,24,MIA,15.5,0.588,6.3,0.165,0.2,0.3,2004,1
5,Dwight Howard,PF,19,ORL,17.2,0.571,4.4,0.131,0.1,-0.1,2004,1
6,Andre Iguodala,SG,21,PHI,13.5,0.58,14.3,0.118,-0.7,2.1,2004,1
7,LeBron James,SF,20,CLE,25.7,0.554,32.9,0.203,7,1.7,2004,1
8,Carmelo Anthony,SF,21,DEN,22,0.563,14.3,0.153,3.5,-0.9,2005,1
9,Udonis Haslem,PF,25,MIA,13.7,0.558,5.9,0.134,-0.4,-0.1,2005,1
10,Dwight Howard,PF,20,ORL,19.3,0.565,7.2,0.137,1.1,-0.1,2005,1
11,Andre Iguodala,SF,22,PHI,14.8,0.598,12.9,0.116,0.2,0.4,2005,1
12,LeBron James,SF,21,CLE,28.1,0.568,32.8,0.232,7.5,1.6,2005,1
13,Chris Paul,PG,20,NOK,22.1,0.546,38.2,0.178,3,2.2,2005,1
14,Lou Williams,PG,19,PHI,9,0.485,11.6,-0.036,-4.9,-1.4,2005,1
15,LaMarcus Aldridge,C,21,POR,17.1,0.533,3.2,0.118,-0.4,-1,2006,1
16,Carmelo Anthony,SF,22,DEN,22.1,0.552,19.2,0.14,3.2,-1.3,2006,1
17,Rudy Gay,SF,20,MEM,12.4,0.497,8,0.011,-1.5,-0.7,2006,1
18,Udonis Haslem,PF,26,MIA,13.7,0.523,6.6,0.099,-1.6,-0.8,2006,1
19,Dwight Howard,C,21,ORL,21.1,0.619,9.5,0.154,1.7,1.1,2006,1
20,Andre Iguodala,SG,23,PHI,18.1,0.562,23.8,0.12,1.3,1.1,2006,1
21,LeBron James,SF,22,CLE,24.5,0.552,29.1,0.206,5.9,2.2,2006,1
22,Kyle Lowry,PG,20,MEM,18.3,0.556,27.3,0.148,1.1,3.5,2006,1
23,Paul Millsap,PF,21,UTA,17.6,0.571,6.7,0.153,-0.4,1,2006,1
24,Chris Paul,PG,21,NOK,22,0.537,41.3,0.179,3.6,1.4,2006,1
25,Rajon Rondo,PG,20,BOS,13.1,0.472,26.3,0.064,-2.4,2.2,2006,1
26,P.J. Tucker,SF,21,TOR,12.8,0.533,5.7,0.085,-2,-1,2006,1
27,Lou Williams,PG,20,PHI,14.6,0.521,26.5,0.078,0.3,-0.7,2006,1
28,LaMarcus Aldridge,PF,22,POR,18.5,0.523,8.8,0.113,0.6,-0.4,2007,1
29,Carmelo Anthony,SF,23,DEN,21.1,0.568,16.1,0.14,2.5,-0.9,2007,1
30,Mike Conley,PG,20,MEM,12.6,0.502,25.3,0.038,-1.6,-1.3,2007,1
31,Kevin Durant,SG,19,SEA,15.8,0.519,12,0.04,0.5,-0.7,2007,1
32,Rudy Gay,SF,21,MEM,17.4,0.546,9.3,0.08,1.5,-0.6,2007,1
33,Jeff Green,SF,21,SEA,9.8,0.491,8.2,0.003,-3.4,-0.6,2007,1
34,Udonis Haslem,PF,27,MIA,12.7,0.517,6.5,0.067,-1.8,-0.9,2007,1
35,Al Horford,C,21,ATL,14.7,0.539,7.9,0.103,-1.2,-0.3,2007,1
